"url","Prettylink","Prettylink_link","Contentblock","Contentlink","Contentlink_link","Contentimg","Contentimg_alt","Contentimg_link"
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-09-12%20until%3A2016-09-13&src=typd&lang=en",".@mike_pence If you don't think David Duke ia deplorable then I guess YOU are! #MAGA #tcot #ccotpic.twitter.com/Lc9tXngwFQ","","Cornelia‏ @PaladinCornelia 12 Sep 2016 
 
 
 More 
 
 
 
 
 
 
 
 Copy link to Tweet 
 
 Embed Tweet 
 
 
 
 
 
 
 
.@mike_pence If you don't think David Duke ia deplorable then I guess YOU are! #MAGA #tcot #ccotpic.twitter.com/Lc9tXngwFQ
 
 
 
 
 
 
 
 
 
 
 
 
 
 10 replies 183 retweets 185 likes 
 
 
 
 Reply 
 
 10 
 
 
 
 Retweet 
 
 183 
 
 Retweeted 
 
 183 
 
 
 
 
 
 
 Like 
 
 185 
 
 
 
 
 Liked 
 
 185; Cornelia‏ @PaladinCornelia 12 Sep 2016 
 
 
 More 
 
 
 
 
 
 
 
 Copy link to Tweet 
 
 Embed Tweet 
 
 
 
 
 
 
 
.@mike_pence If you don't think David Duke ia deplorable then I guess YOU are! #MAGA #tcot #ccotpic.twitter.com/Lc9tXngwFQ
 
 
 
 
 
 
 
 
 
 
 
 
 
 10 replies 183 retweets 185 likes 
 
 
 
 Reply 
 
 10 
 
 
 
 Retweet 
 
 183 
 
 Retweeted 
 
 183 
 
 
 
 
 
 
 Like 
 
 185 
 
 
 
 
 Liked 
 
 185","Cornelia‏ @PaladinCornelia; 12 Sep 2016; @mike_pence; #MAGA; #tcot; #ccot; pic.twitter.com/Lc9tXngwFQ","https://twitter.com/PaladinCornelia; https://twitter.com/PaladinCornelia/status/775484015054684160; https://twitter.com/mike_pence; https://twitter.com/hashtag/MAGA?src=hash; https://twitter.com/hashtag/tcot?src=hash; https://twitter.com/hashtag/ccot?src=hash; https://t.co/Lc9tXngwFQ","https://pbs.twimg.com/profile_images/616623141419257856/C1IMMpAK_bigger.png; https://pbs.twimg.com/media/CsMSU0lVUAAkBbj.jpg","; ","https://twitter.com/PaladinCornelia; "
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-09-12%20until%3A2016-09-13&src=typd&lang=en","""Trump supporters are racist"" ""Trump supporters are rude and vulgar"" a bit hypocritical don't you think? #MAGA pic.twitter.com/WNYt2eXFOw","","Blake Riggs‏ @CameronKrZy23 12 Sep 2016 
 
 
 More 
 
 
 
 
 
 
 
 Copy link to Tweet 
 
 Embed Tweet 
 
 Embed Video 
 
 
 
 
 
 
 
""Trump supporters are racist"" ""Trump supporters are rude and vulgar"" a bit hypocritical don't you think? #MAGA pic.twitter.com/WNYt2eXFOw
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 3 replies 12 retweets 24 likes 
 
 
 
 Reply 
 
 3 
 
 
 
 Retweet 
 
 12 
 
 Retweeted 
 
 12 
 
 
 
 
 
 
 Like 
 
 24 
 
 
 
 
 Liked 
 
 24; Blake Riggs‏ @CameronKrZy23 12 Sep 2016 
 
 
 More 
 
 
 
 
 
 
 
 Copy link to Tweet 
 
 Embed Tweet 
 
 Embed Video 
 
 
 
 
 
 
 
""Trump supporters are racist"" ""Trump supporters are rude and vulgar"" a bit hypocritical don't you think? #MAGA pic.twitter.com/WNYt2eXFOw
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 3 replies 12 retweets 24 likes 
 
 
 
 Reply 
 
 3 
 
 
 
 Retweet 
 
 12 
 
 Retweeted 
 
 12 
 
 
 
 
 
 
 Like 
 
 24 
 
 
 
 
 Liked 
 
 24","Blake Riggs‏ @CameronKrZy23; 12 Sep 2016; #MAGA; pic.twitter.com/WNYt2eXFOw","https://twitter.com/CameronKrZy23; https://twitter.com/CameronKrZy23/status/775483712435687424; https://twitter.com/hashtag/MAGA?src=hash; https://t.co/WNYt2eXFOw","https://pbs.twimg.com/profile_images/850746866056802304/F7jciDKI_bigger.jpg","","https://twitter.com/CameronKrZy23"
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-09-12%20until%3A2016-09-13&src=typd&lang=en","#Trump has much love for his People!!He is so dang Cool!! #BasketOfAdorables I you @realDonaldTrump #Maga pic.twitter.com/BFM8Z2eqJi","","🌹FLeW 🇺🇸 👌🏻‏ @Flewbys 12 Sep 2016 
 
 
 More 
 
 
 
 
 
 
 
 Copy link to Tweet 
 
 Embed Tweet 
 
 Embed Video 
 
 
 
 
 
 
 
#Trump has much love for his People!!He is so dang Cool!! #BasketOfAdorables I you @realDonaldTrump #Maga pic.twitter.com/BFM8Z2eqJi
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 11 replies 176 retweets 248 likes 
 
 
 
 Reply 
 
 11 
 
 
 
 Retweet 
 
 176 
 
 Retweeted 
 
 176 
 
 
 
 
 
 
 Like 
 
 248 
 
 
 
 
 Liked 
 
 248; 🌹FLeW 🇺🇸 👌🏻‏ @Flewbys 12 Sep 2016 
 
 
 More 
 
 
 
 
 
 
 
 Copy link to Tweet 
 
 Embed Tweet 
 
 Embed Video 
 
 
 
 
 
 
 
#Trump has much love for his People!!He is so dang Cool!! #BasketOfAdorables I you @realDonaldTrump #Maga pic.twitter.com/BFM8Z2eqJi
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 11 replies 176 retweets 248 likes 
 
 
 
 Reply 
 
 11 
 
 
 
 Retweet 
 
 176 
 
 Retweeted 
 
 176 
 
 
 
 
 
 
 Like 
 
 248 
 
 
 
 
 Liked 
 
 248","🌹FLeW 🇺🇸 👌🏻‏ @Flewbys; 12 Sep 2016; #Trump; #BasketOfAdorables; @realDonaldTrump; #Maga; pic.twitter.com/BFM8Z2eqJi","https://twitter.com/Flewbys; https://twitter.com/Flewbys/status/775483575474851840; https://twitter.com/hashtag/Trump?src=hash; https://twitter.com/hashtag/BasketOfAdorables?src=hash; https://twitter.com/realDonaldTrump; https://twitter.com/hashtag/Maga?src=hash; https://t.co/BFM8Z2eqJi","https://pbs.twimg.com/profile_images/851298371214200832/oJrvoL2U_bigger.jpg; https://abs.twimg.com/emoji/v2/72x72/2764.png; https://abs.twimg.com/emoji/v2/72x72/1f1fa-1f1f8.png; https://abs.twimg.com/emoji/v2/72x72/1f1fa-1f1f8.png; https://abs.twimg.com/emoji/v2/72x72/1f44d.png; https://abs.twimg.com/emoji/v2/72x72/1f4af.png","; ❤️; 🇺🇸; 🇺🇸; 👍; 💯","https://twitter.com/Flewbys; ; ; ; ; "
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-09-12%20until%3A2016-09-13&src=typd&lang=en","Hillary's gift #BasketOfDeplorables #Trump #MAGA https://twitter.com/rharrisonfries/status/775326122422657025 …","","Tosca Austen‏ @ToscaAusten 12 Sep 2016 
 
 
 More 
 
 
 
 
 
 
 
 Copy link to Tweet 
 
 Embed Tweet 
 
 
 
 
 
 
Tosca Austen Retweeted Whitehouse Plumber
 
 
Hillary's gift #BasketOfDeplorables #Trump #MAGA https://twitter.com/rharrisonfries/status/775326122422657025 …
 
 
Tosca Austen added,
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 Whitehouse Plumber @rharrisonfries 
 
#BasketOfDeplorables pic.twitter.com/kgjecJRBQ3
 
 
 
 
 
 
 
 0 replies 2 retweets 1 like 
 
 
 
 Reply 
 
 
 
 
 
 Retweet 
 
 2 
 
 Retweeted 
 
 2 
 
 
 
 
 
 
 Like 
 
 1 
 
 
 
 
 Liked 
 
 1; Tosca Austen‏ @ToscaAusten 12 Sep 2016 
 
 
 More 
 
 
 
 
 
 
 
 Copy link to Tweet 
 
 Embed Tweet 
 
 
 
 
 
 
Tosca Austen Retweeted Whitehouse Plumber
 
 
Hillary's gift #BasketOfDeplorables #Trump #MAGA https://twitter.com/rharrisonfries/status/775326122422657025 …
 
 
Tosca Austen added,
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 Whitehouse Plumber @rharrisonfries 
 
#BasketOfDeplorables pic.twitter.com/kgjecJRBQ3
 
 
 
 
 
 
 
 0 replies 2 retweets 1 like 
 
 
 
 Reply 
 
 
 
 
 
 Retweet 
 
 2 
 
 Retweeted 
 
 2 
 
 
 
 
 
 
 Like 
 
 1 
 
 
 
 
 Liked 
 
 1","Tosca Austen‏ @ToscaAusten; 12 Sep 2016; #BasketOfDeplorables; #Trump; #MAGA; https://twitter.com/rharrisonfries/status/775326122422657025 …","https://twitter.com/ToscaAusten; https://twitter.com/ToscaAusten/status/775483863602561024; https://twitter.com/hashtag/BasketOfDeplorables?src=hash; https://twitter.com/hashtag/Trump?src=hash; https://twitter.com/hashtag/MAGA?src=hash; https://t.co/YXBoJx02S7","https://pbs.twimg.com/profile_images/831982608544301056/K12VoEvV_bigger.jpg; https://pbs.twimg.com/media/CsKC_gOUIAU_2_C.jpg","; ","https://twitter.com/ToscaAusten; "
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-09-12%20until%3A2016-09-13&src=typd&lang=en","Well, this ""cowardly loser"" was decorated for valor in Iraq. #copolitics #Colorado #MAGA #tcot #pjnet #TrumpPence16https://twitter.com/crobertbuchanan/status/775473755707412480 …","","GeorgeAthanasopoulos‏ @gjathanas 12 Sep 2016 
 
 
 More 
 
 
 
 
 
 
 
 Copy link to Tweet 
 
 Embed Tweet 
 
 
 
 
 
 
GeorgeAthanasopoulos Retweeted Charles Buchanan
 
 
Well, this ""cowardly loser"" was decorated for valor in Iraq. #copolitics #Colorado #MAGA #tcot #pjnet #TrumpPence16https://twitter.com/crobertbuchanan/status/775473755707412480 …
 
 
GeorgeAthanasopoulos added,
 
 
 
 
 
 
 Charles Buchanan @CRobertBuchanan 
 
This is the kind of cowardly loser #Trump attracts. cc @gjathanas @SenLauraWoods @RepMikeCoffman #copolitics https://twitter.com/KeithOlbermann/status/775472429070245888 …
 
 
 
 
 
 
 
 3 replies 14 retweets 18 likes 
 
 
 
 Reply 
 
 3 
 
 
 
 Retweet 
 
 14 
 
 Retweeted 
 
 14 
 
 
 
 
 
 
 Like 
 
 18 
 
 
 
 
 Liked 
 
 18; GeorgeAthanasopoulos‏ @gjathanas 12 Sep 2016 
 
 
 More 
 
 
 
 
 
 
 
 Copy link to Tweet 
 
 Embed Tweet 
 
 
 
 
 
 
GeorgeAthanasopoulos Retweeted Charles Buchanan
 
 
Well, this ""cowardly loser"" was decorated for valor in Iraq. #copolitics #Colorado #MAGA #tcot #pjnet #TrumpPence16https://twitter.com/crobertbuchanan/status/775473755707412480 …
 
 
GeorgeAthanasopoulos added,
 
 
 
 
 
 
 Charles Buchanan @CRobertBuchanan 
 
This is the kind of cowardly loser #Trump attracts. cc @gjathanas @SenLauraWoods @RepMikeCoffman #copolitics https://twitter.com/KeithOlbermann/status/775472429070245888 …
 
 
 
 
 
 
 
 3 replies 14 retweets 18 likes 
 
 
 
 Reply 
 
 3 
 
 
 
 Retweet 
 
 14 
 
 Retweeted 
 
 14 
 
 
 
 
 
 
 Like 
 
 18 
 
 
 
 
 Liked 
 
 18","GeorgeAthanasopoulos‏ @gjathanas; 12 Sep 2016; #copolitics; #Colorado; #MAGA; #tcot; #pjnet; #TrumpPence16; https://twitter.com/crobertbuchanan/status/775473755707412480 …","https://twitter.com/gjathanas; https://twitter.com/gjathanas/status/775483610568675328; https://twitter.com/hashtag/copolitics?src=hash; https://twitter.com/hashtag/Colorado?src=hash; https://twitter.com/hashtag/MAGA?src=hash; https://twitter.com/hashtag/tcot?src=hash; https://twitter.com/hashtag/pjnet?src=hash; https://twitter.com/hashtag/TrumpPence16?src=hash; https://t.co/bvvZaa3NK4","https://pbs.twimg.com/profile_images/803434249370136576/CIElcHNj_bigger.jpg","","https://twitter.com/gjathanas"
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-09-12%20until%3A2016-09-13&src=typd&lang=en","#HUGE crowd in Asheville NC today for @realDonaldTrump I have a feeling we're going to win in November! #MAGA pic.twitter.com/jLDmDruP64","","DeplorableDENNIS 🇺🇸 Retweeted 
 
 
 
 Citizen Dale‏ @Trumptbird 12 Sep 2016 
 
 
 More 
 
 
 
 
 
 
 
 Copy link to Tweet 
 
 Embed Tweet 
 
 
 
 
 
 
 
#HUGE crowd in Asheville NC today for @realDonaldTrump I have a feeling we're going to win in November! #MAGA pic.twitter.com/jLDmDruP64
 
 
 
 
 
 
 
 
 
 
 
 
 
 21 replies 232 retweets 320 likes 
 
 
 
 Reply 
 
 21 
 
 
 
 Retweet 
 
 232 
 
 Retweeted 
 
 232 
 
 
 
 
 
 
 Like 
 
 320 
 
 
 
 
 Liked 
 
 320; Citizen Dale‏ @Trumptbird 12 Sep 2016 
 
 
 More 
 
 
 
 
 
 
 
 Copy link to Tweet 
 
 Embed Tweet 
 
 
 
 
 
 
 
#HUGE crowd in Asheville NC today for @realDonaldTrump I have a feeling we're going to win in November! #MAGA pic.twitter.com/jLDmDruP64
 
 
 
 
 
 
 
 
 
 
 
 
 
 21 replies 232 retweets 320 likes 
 
 
 
 Reply 
 
 21 
 
 
 
 Retweet 
 
 232 
 
 Retweeted 
 
 232 
 
 
 
 
 
 
 Like 
 
 320 
 
 
 
 
 Liked 
 
 320","DeplorableDENNIS 🇺🇸; Citizen Dale‏ @Trumptbird; 12 Sep 2016; #HUGE; @realDonaldTrump; #MAGA; pic.twitter.com/jLDmDruP64","https://twitter.com/dbdennis2211; https://twitter.com/Trumptbird; https://twitter.com/Trumptbird/status/775469949565431812; https://twitter.com/hashtag/HUGE?src=hash; https://twitter.com/realDonaldTrump; https://twitter.com/hashtag/MAGA?src=hash; https://t.co/jLDmDruP64","https://pbs.twimg.com/profile_images/814659909371498496/PwMEGzKS_bigger.jpg; https://pbs.twimg.com/media/CsMFzvcWgAA9Hcb.jpg","; ","https://twitter.com/Trumptbird; "
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-09-12%20until%3A2016-09-13&src=typd&lang=en","No Donald, only the people who are voting for you! #MAGA #tcot #ccotpic.twitter.com/0XnCzLuDKt","","Daniel Martin Retweeted 
 
 
 
 Cornelia‏ @PaladinCornelia 12 Sep 2016 
 
 
 More 
 
 
 
 
 
 
 
 Copy link to Tweet 
 
 Embed Tweet 
 
 
 
 
 
 
 
No Donald, only the people who are voting for you! #MAGA #tcot #ccotpic.twitter.com/0XnCzLuDKt
 
 
 
 
 
 
 
 
 
 
 
 
 
 2 replies 41 retweets 27 likes 
 
 
 
 Reply 
 
 2 
 
 
 
 Retweet 
 
 41 
 
 Retweeted 
 
 41 
 
 
 
 
 
 
 Like 
 
 27 
 
 
 
 
 Liked 
 
 27; Cornelia‏ @PaladinCornelia 12 Sep 2016 
 
 
 More 
 
 
 
 
 
 
 
 Copy link to Tweet 
 
 Embed Tweet 
 
 
 
 
 
 
 
No Donald, only the people who are voting for you! #MAGA #tcot #ccotpic.twitter.com/0XnCzLuDKt
 
 
 
 
 
 
 
 
 
 
 
 
 
 2 replies 41 retweets 27 likes 
 
 
 
 Reply 
 
 2 
 
 
 
 Retweet 
 
 41 
 
 Retweeted 
 
 41 
 
 
 
 
 
 
 Like 
 
 27 
 
 
 
 
 Liked 
 
 27","Daniel Martin; Cornelia‏ @PaladinCornelia; 12 Sep 2016; #MAGA; #tcot; #ccot; pic.twitter.com/0XnCzLuDKt","https://twitter.com/marti431uew; https://twitter.com/PaladinCornelia; https://twitter.com/PaladinCornelia/status/775481652604604416; https://twitter.com/hashtag/MAGA?src=hash; https://twitter.com/hashtag/tcot?src=hash; https://twitter.com/hashtag/ccot?src=hash; https://t.co/0XnCzLuDKt","https://pbs.twimg.com/profile_images/616623141419257856/C1IMMpAK_bigger.png","","https://twitter.com/PaladinCornelia"
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-09-12%20until%3A2016-09-13&src=typd&lang=en","She lies then insults us just like the guy on his way out. Only a fool would stand with her and unfortunately there's quite a few. #MAGA","","home on the range‏ @darrellmccarth6 12 Sep 2016 
 
 
 More 
 
 
 
 
 
 
 
 Copy link to Tweet 
 
 Embed Tweet 
 
 
 
 
 
 
 
She lies then insults us just like the guy on his way out. Only a fool would stand with her and unfortunately there's quite a few. #MAGA
 
 
 
 0 replies 0 retweets 0 likes 
 
 
 
 Reply 
 
 
 
 
 
 Retweet 
 
 
 
 Retweeted 
 
 
 
 
 
 
 
 
 Like 
 
 
 
 
 
 
 Liked; home on the range‏ @darrellmccarth6 12 Sep 2016 
 
 
 More 
 
 
 
 
 
 
 
 Copy link to Tweet 
 
 Embed Tweet 
 
 
 
 
 
 
 
She lies then insults us just like the guy on his way out. Only a fool would stand with her and unfortunately there's quite a few. #MAGA
 
 
 
 0 replies 0 retweets 0 likes 
 
 
 
 Reply 
 
 
 
 
 
 Retweet 
 
 
 
 Retweeted 
 
 
 
 
 
 
 
 
 Like 
 
 
 
 
 
 
 Liked","home on the range‏ @darrellmccarth6; 12 Sep 2016; #MAGA","https://twitter.com/darrellmccarth6; https://twitter.com/darrellmccarth6/status/775484076685946880; https://twitter.com/hashtag/MAGA?src=hash","https://pbs.twimg.com/profile_images/846810448292909058/ywGHxI2z_bigger.jpg","","https://twitter.com/darrellmccarth6"
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-09-12%20until%3A2016-09-13&src=typd&lang=en","If the story is not correct... please, enlighten us. #Unqualified #GOP #veterans #maga (my ass) https://twitter.com/washingtonpost/status/775469169290645504 …","","Humble Bee 🐝 🖕🏽‏ @HumblestBee 12 Sep 2016 
 
 
 More 
 
 
 
 
 
 
 
 Copy link to Tweet 
 
 Embed Tweet 
 
 
 
 
 
 
Humble Bee 🐝 🖕🏽 Retweeted Washington Post
 
 
If the story is not correct... please, enlighten us. #Unqualified #GOP #veterans #maga (my ass) https://twitter.com/washingtonpost/status/775469169290645504 …
 
 
Humble Bee 🐝 🖕🏽 added,
 
 
 
 
 
 
 Washington PostVerified account @washingtonpost 
 
Trump’s campaign says he’s given ""tens of millions"" to charity, but offers no details and no proof http://wapo.st/2cn6RAt 
 
 
 
 
 
 
 
 0 replies 0 retweets 0 likes 
 
 
 
 Reply 
 
 
 
 
 
 Retweet 
 
 
 
 Retweeted 
 
 
 
 
 
 
 
 
 Like 
 
 
 
 
 
 
 Liked; Humble Bee 🐝 🖕🏽‏ @HumblestBee 12 Sep 2016 
 
 
 More 
 
 
 
 
 
 
 
 Copy link to Tweet 
 
 Embed Tweet 
 
 
 
 
 
 
Humble Bee 🐝 🖕🏽 Retweeted Washington Post
 
 
If the story is not correct... please, enlighten us. #Unqualified #GOP #veterans #maga (my ass) https://twitter.com/washingtonpost/status/775469169290645504 …
 
 
Humble Bee 🐝 🖕🏽 added,
 
 
 
 
 
 
 Washington PostVerified account @washingtonpost 
 
Trump’s campaign says he’s given ""tens of millions"" to charity, but offers no details and no proof http://wapo.st/2cn6RAt 
 
 
 
 
 
 
 
 0 replies 0 retweets 0 likes 
 
 
 
 Reply 
 
 
 
 
 
 Retweet 
 
 
 
 Retweeted 
 
 
 
 
 
 
 
 
 Like 
 
 
 
 
 
 
 Liked","Humble Bee 🐝 🖕🏽‏ @HumblestBee; 12 Sep 2016; #Unqualified; #GOP; #veterans; #maga; https://twitter.com/washingtonpost/status/775469169290645504 …","https://twitter.com/HumblestBee; https://twitter.com/HumblestBee/status/775483944741462016; https://twitter.com/hashtag/Unqualified?src=hash; https://twitter.com/hashtag/GOP?src=hash; https://twitter.com/hashtag/veterans?src=hash; https://twitter.com/hashtag/maga?src=hash; https://t.co/eNNlMY5iPJ","https://pbs.twimg.com/profile_images/858023497741631488/2kCSrHCp_bigger.jpg","","https://twitter.com/HumblestBee"
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-09-12%20until%3A2016-09-13&src=typd&lang=en","@realHilClinton what? She's lying? Say it isn't so. Oh you cant. I see she is A LIAR. #MAGA #NEVERHILLARY #HillarysBodyDouble","","GoodCarmen‏ @CarmenPeterso18 12 Sep 2016 
 
 
 More 
 
 
 
 
 
 
 
 Copy link to Tweet 
 
 Embed Tweet 
 
 
 
 
 
 
 Replying to @LifeZette 
 
 
@realHilClinton what? She's lying? Say it isn't so. Oh you cant. I see she is A LIAR. #MAGA #NEVERHILLARY #HillarysBodyDouble
 
 
 
 0 replies 1 retweet 0 likes 
 
 
 
 Reply 
 
 
 
 
 
 Retweet 
 
 1 
 
 Retweeted 
 
 1 
 
 
 
 
 
 
 Like 
 
 
 
 
 
 
 Liked; GoodCarmen‏ @CarmenPeterso18 12 Sep 2016 
 
 
 More 
 
 
 
 
 
 
 
 Copy link to Tweet 
 
 Embed Tweet 
 
 
 
 
 
 
 Replying to @LifeZette 
 
 
@realHilClinton what? She's lying? Say it isn't so. Oh you cant. I see she is A LIAR. #MAGA #NEVERHILLARY #HillarysBodyDouble
 
 
 
 0 replies 1 retweet 0 likes 
 
 
 
 Reply 
 
 
 
 
 
 Retweet 
 
 1 
 
 Retweeted 
 
 1 
 
 
 
 
 
 
 Like 
 
 
 
 
 
 
 Liked","GoodCarmen‏ @CarmenPeterso18; 12 Sep 2016; @LifeZette; @realHilClinton; #MAGA; #NEVERHILLARY; #HillarysBodyDouble","https://twitter.com/CarmenPeterso18; https://twitter.com/CarmenPeterso18/status/775483929927098368; https://twitter.com/LifeZette; https://twitter.com/realHilClinton; https://twitter.com/hashtag/MAGA?src=hash; https://twitter.com/hashtag/NEVERHILLARY?src=hash; https://twitter.com/hashtag/HillarysBodyDouble?src=hash","https://pbs.twimg.com/profile_images/799622371422285824/9AhDFP4D_bigger.jpg","","https://twitter.com/CarmenPeterso18"
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-09-12%20until%3A2016-09-13&src=typd&lang=en","#HillarysHealth #ClintonCollapse http://www.dailywire.com/news/9063/hillarys-health-reality-decimates-medias-john-nolte#.V9dA43earEV.twitter … liar, greedy, corrupt to the core, protected by the media #MAGA #TrumpTrain #NEWS","","Original Argument‏ @4joachim 12 Sep 2016 
 
 
 More 
 
 
 
 
 
 
 
 Copy link to Tweet 
 
 Embed Tweet 
 
 
 
 
 
 
 
#HillarysHealth #ClintonCollapse http://www.dailywire.com/news/9063/hillarys-health-reality-decimates-medias-john-nolte#.V9dA43earEV.twitter … liar, greedy, corrupt to the core, protected by the media #MAGA #TrumpTrain #NEWS
 
 
 
 
 
 
 
 0 replies 0 retweets 0 likes 
 
 
 
 Reply 
 
 
 
 
 
 Retweet 
 
 
 
 Retweeted 
 
 
 
 
 
 
 
 
 Like 
 
 
 
 
 
 
 Liked; Original Argument‏ @4joachim 12 Sep 2016 
 
 
 More 
 
 
 
 
 
 
 
 Copy link to Tweet 
 
 Embed Tweet 
 
 
 
 
 
 
 
#HillarysHealth #ClintonCollapse http://www.dailywire.com/news/9063/hillarys-health-reality-decimates-medias-john-nolte#.V9dA43earEV.twitter … liar, greedy, corrupt to the core, protected by the media #MAGA #TrumpTrain #NEWS
 
 
 
 
 
 
 
 0 replies 0 retweets 0 likes 
 
 
 
 Reply 
 
 
 
 
 
 Retweet 
 
 
 
 Retweeted 
 
 
 
 
 
 
 
 
 Like 
 
 
 
 
 
 
 Liked","Original Argument‏ @4joachim; 12 Sep 2016; #HillarysHealth; #ClintonCollapse; #MAGA; #TrumpTrain; #NEWS","https://twitter.com/4joachim; https://twitter.com/4joachim/status/775483803397533696; https://twitter.com/hashtag/HillarysHealth?src=hash; https://twitter.com/hashtag/ClintonCollapse?src=hash; https://twitter.com/hashtag/MAGA?src=hash; https://twitter.com/hashtag/TrumpTrain?src=hash; https://twitter.com/hashtag/NEWS?src=hash","https://pbs.twimg.com/profile_images/754576119454572545/mB0ThYD-_bigger.jpg","","https://twitter.com/4joachim"
"https://twitter.com/search?l=&q=%23maga%20since%3A2016-09-12%20until%3A2016-09-13&src=typd&lang=en","@bfraser747 @Kaepernick7 @deray @Breaking911 #BLM #MAGA Where's the BLM now when a black man killing a cop?! Th's infuriatg!","","filipinos4trump‏ @stellamaris1101 12 Sep 2016 
 
 
 More 
 
 
 
 
 
 
 
 Copy link to Tweet 
 
 Embed Tweet 
 
 
 
 
 
 
 Replying to @TraceyTheisen 
 
 
@bfraser747 @Kaepernick7 @deray @Breaking911 #BLM #MAGA Where's the BLM now when a black man killing a cop?! Th's infuriatg!
 
 
 
 0 replies 0 retweets 2 likes 
 
 
 
 Reply 
 
 
 
 
 
 Retweet 
 
 
 
 Retweeted 
 
 
 
 
 
 
 
 
 Like 
 
 2 
 
 
 
 
 Liked 
 
 2; filipinos4trump‏ @stellamaris1101 12 Sep 2016 
 
 
 More 
 
 
 
 
 
 
 
 Copy link to Tweet 
 
 Embed Tweet 
 
 
 
 
 
 
 Replying to @TraceyTheisen 
 
 
@bfraser747 @Kaepernick7 @deray @Breaking911 #BLM #MAGA Where's the BLM now when a black man killing a cop?! Th's infuriatg!
 
 
 
 0 replies 0 retweets 2 likes 
 
 
 
 Reply 
 
 
 
 
 
 Retweet 
 
 
 
 Retweeted 
 
 
 
 
 
 
 
 
 Like 
 
 2 
 
 
 
 
 Liked 
 
 2","filipinos4trump‏ @stellamaris1101; 12 Sep 2016; @TraceyTheisen; @bfraser747; @Kaepernick7; @deray; @Breaking911; #BLM; #MAGA","https://twitter.com/stellamaris1101; https://twitter.com/stellamaris1101/status/775483795151564801; https://twitter.com/TraceyTheisen; https://twitter.com/bfraser747; https://twitter.com/Kaepernick7; https://twitter.com/deray; https://twitter.com/Breaking911; https://twitter.com/hashtag/BLM?src=hash; https://twitter.com/hashtag/MAGA?src=hash","https://pbs.twimg.com/profile_images/721176957623230464/kT1ehu-F_bigger.jpg","","https://twitter.com/stellamaris1101"
